Age,Occupation,Residence_Area,Movement_Frequency,Active_Times,Primary_Transport_Mode,Vehicle_Type,Delay_Causes,Accident_Frequency,Accident_Causes,Safety_Rating,Traffic_Regulations_Enforcement,Traffic_Changes,Traffic_Volume(target)
18 - 25,Employed (full-time),East,Several times a week,Morning rush hour,Car,SUV,Accidents;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,1
26 - 35,Student,East,Several times a week,Morning rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,1
18 - 25,Retired,West,Several times a week,Early morning;Mid day;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,1
18 - 25,Employed (full-time),North,Daily,Morning rush hour;Mid day;Evening rush hour,Car,Car,Road construction,Sometimes,Speeding,Very safe,Yes,Improvement,1
46 - 55,Student,East,Occasionally,Evening rush hour,Car,SUV,Road construction,Often,Speeding,Somewhat safe,Yes,Improvement,1
26 - 35,Employed (full-time),South,Daily,Morning rush hour;Evening rush hour,Car,Car,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Maybe,No change,1
18 - 25,Student,North,Daily,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,No,No change,1
46 - 55,Student,East,Daily,Evening rush hour,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Neutral,No,No change,1
18 - 25,Student,East,Occasionally,Early morning,Motorcycle,Car;SUV;Truck,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,No,Improvement,1
18 - 25,Student,North,Several times a week,Evening rush hour,Car,Car,Road construction,Often,Speeding;Poor road conditions,Neutral,Yes,No change,1
26 - 35,Student,East,Daily,Early morning,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);poor driving skills",Neutral,Maybe,Improvement,1
46 - 55,Student,North,Several times a week,Evening rush hour,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,1
18 - 25,Student,East,Several times a week,Morning rush hour;Late at  night,Car,Car;SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,No change,1
18 - 25,Student,West,Daily,Mid day,Car,Car,Accidents;Heavy traffic due to peak hours,Never,"Distracted driving (e.g., phone use)",Neutral,No,Improvement,1
26 - 35,Student,North,Daily,Mid day,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Maybe,Improvement,1
26 - 35,Student,West,Daily,Morning rush hour;Mid day,Motorcycle,Car;SUV,Road construction;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,No,Improvement,1
18 - 25,Employed (full-time),East,Daily,Early morning;Morning rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,1
46 - 55,Employed (full-time),South,Daily,Early morning;Morning rush hour;Mid day,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding;Weather conditions,Neutral,Yes,Improvement,1
18 - 25,Self-employed,West,Daily,Early morning;Evening rush hour,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,1
18 - 25,Employed (full-time),East,Daily,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,No,Improvement,1
18 - 25,Employed (full-time),East,Daily,Early morning,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Urgency to pass red light quickly when it’s going yellow to red",Somewhat safe,Yes,No change,1
46 - 55,Student,North,Daily,Early morning;Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,Improvement,1
18 - 25,Student,North,Daily,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,No,No change,1
26 - 35,Employed (full-time),South,Daily,Morning rush hour;Mid day,Car,SUV,Road construction,Rarely,Speeding;Poor road conditions,Somewhat safe,Yes,No change,1
18 - 25,Student,East,Several times a week,Mid day,Car,Car,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Maybe,No change,1
18 - 25,Student,South,Several times a week,Morning rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,No,No change,1
18 - 25,Employed (full-time),East,Several times a week,Early morning;Mid day,Car,Car,Road construction;Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,No change,1
18 - 25,Employed (full-time),East,Daily,Evening rush hour,Car,Car;SUV,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,1
18 - 25,Student,South,Occasionally,Early morning;Morning rush hour;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,1
18 - 25,Employed (full-time),East,Occasionally,Early morning,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very unsafe,Maybe,No change,1
18 - 25,Student,East,Daily,Early morning,Car,Car,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,1
26 - 35,Employed (full-time),West,Several times a week,Morning rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours;Clusturing of work places,Never,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat unsafe,Yes,No change,1
36 - 45,Student,North,Several times a week,Morning rush hour;Mid day,Car,Car;SUV,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Maybe,No change,1
18 - 25,Student,North,Daily,Mid day;Evening rush hour,Car,Car,Road construction,Sometimes,Speeding;Poor road conditions,Somewhat safe,No,No change,1
46 - 55,Student,North,Occasionally,Early morning,Car,Car,Accidents,Sometimes,Speeding,Somewhat safe,No,No change,1
46 - 55,Student,North,Daily,Early morning;Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,Improvement,1
18 - 25,Student,East,Occasionally,Mid day,Car,Car,Accidents;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,Maybe,No change,1
18 - 25,Retired,North,Daily,Morning rush hour;Mid day,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,1
26 - 35,Employed (part-time),North,Several times a week,Mid day;Evening rush hour,Car,Car,Road construction,Rarely,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,1
18 - 25,Student,East,Several times a week,Early morning;Evening rush hour,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Maybe,Improvement,1
46 - 55,Student,North,Several times a week,Early morning;Mid day,Car,Car,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,1
26 - 35,Employed (full-time),East,Occasionally,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,No,Improvement,1
46 - 55,Student,East,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,Poor road conditions,Somewhat safe,Yes,Improvement,1
18 - 25,Student,East,Daily,Early morning;Morning rush hour;Evening rush hour,Car,SUV,Accidents,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,1
18 - 25,Employed (part-time),West,Several times a week,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Often,Speeding,Neutral,No,Improvement,1
18 - 25,Employed (full-time),East,Several times a week,Early morning;Evening rush hour;Late at  night,Motorcycle,SUV,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,No change,1
18 - 25,Student,South,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Truck,Accidents;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,Improvement,1
18 - 25,Employed (full-time),South,Daily,Early morning;Morning rush hour;Mid day,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);poor driving skills",Neutral,No,No change,1
18 - 25,Retired,East,Several times a week,Early morning;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,Weather conditions,Somewhat safe,Yes,Improvement,1
36 - 45,Student,East,Daily,Morning rush hour,Public transit (bus),Car;SUV,Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,1
46 - 55,Employed (full-time),East,Daily,Morning rush hour;Mid day,Car,Car;SUV;Truck,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use);poor driving skills",Very safe,No,Improvement,1
46 - 55,Employed (full-time),West,Daily,Morning rush hour;Evening rush hour,Car,SUV,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;neglected drivers, no many entries to the main roads so people fight through one entry ",Somewhat safe,Yes,Improvement,1
36 - 45,Employed (full-time),East,Daily,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,No change,1
18 - 25,Student,East,Daily,Early morning;Evening rush hour,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,1
46 - 55,Employed (full-time),East,Daily,Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,1
26 - 35,Employed (full-time),East,Several times a week,Early morning;Late at  night,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Neutral,Maybe,Improvement,1
26 - 35,Employed (full-time),East,Daily,Morning rush hour;Evening rush hour;Late at  night,Car,SUV,Accidents;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat unsafe,Maybe,Improvement,1
18 - 25,Student,North,Several times a week,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,No,No change,1
18 - 25,Employed (full-time),West,Several times a week,Early morning;Mid day,Car,Car,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,Improvement,1
18 - 25,Student,North,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,1
46 - 55,Student,East,Occasionally,Mid day;Evening rush hour;Late at  night,Car,Car,Accidents,Sometimes,"Distracted driving (e.g., phone use)",Very unsafe,Maybe,Improvement,1
46 - 55,Employed (full-time),North,Daily,Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,Improvement,1
46 - 55,Employed (full-time),South,Occasionally,Late at  night,Taxi / Uber,No car ,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,1
18 - 25,Student,East,Occasionally,Evening rush hour,Walking,Car;SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,1
18 - 25,Student,South,Occasionally,Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,1
18 - 25,Employed (full-time),East,Several times a week,Morning rush hour;Evening rush hour,Car,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Often,Speeding,Somewhat safe,No,No change,1
46 - 55,Student,North,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Maybe,Improvement,1
18 - 25,Employed (full-time),North,Daily,Morning rush hour;Mid day;Evening rush hour,Car,Car,Road construction,Sometimes,Speeding,Very safe,Yes,Improvement,1
18 - 25,Employed (full-time),North,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour,Motorcycle,SUV,Accidents;Heavy traffic due to peak hours,Rarely,Speeding,Somewhat safe,Yes,No change,1
56 and above,Student,West,Occasionally,Early morning;Morning rush hour,Car,Car,Accidents,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,Maybe,Improvement,1
18 - 25,Student,East,Daily,Morning rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,Improvement,1
18 - 25,Employed (full-time),North,Occasionally,Morning rush hour;Evening rush hour;Late at  night,Car,No car ,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,1
46 - 55,Student,East,Several times a week,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,Speeding,Very safe,Yes,Improvement,1
18 - 25,Employed (full-time),West,Several times a week,Early morning;Mid day,Car,Car,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,Improvement,1
26 - 35,Student,South,Daily,Early morning;Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Somewhat unsafe,Yes,No change,1
18 - 25,Student,West,Several times a week,Morning rush hour;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,Speeding;Poor road conditions,Very safe,Yes,No change,1
18 - 25,Student,East,Daily,Early morning;Evening rush hour,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,1
18 - 25,Employed (full-time),West,Occasionally,Morning rush hour;Evening rush hour,Car,Car,Road construction,Rarely,"Distracted driving (e.g., phone use)",Very unsafe,No,Improvement,1
18 - 25,Student,East,Occasionally,Mid day;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,Improvement,1
18 - 25,Employed (full-time),East,Occasionally,Evening rush hour;Late at  night,Car,SUV,Heavy traffic due to peak hours,Never,"Distracted driving (e.g., phone use);Weather conditions",Somewhat unsafe,No,Improvement,1
46 - 55,Employed (full-time),North,Daily,Early morning;Evening rush hour,Car,Motorcycle,Heavy traffic due to peak hours,Often,Poor road conditions,Neutral,Maybe,No change,1
18 - 25,Retired,North,Daily,Early morning;Evening rush hour,Car,Car,Accidents;Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,No change,1
26 - 35,Student,South,Daily,Early morning;Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Somewhat unsafe,Yes,No change,1
18 - 25,Employed (full-time),East,Daily,Morning rush hour;Mid day;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,1
18 - 25,Employed (full-time),North,Daily,Evening rush hour,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,1
18 - 25,Employed (full-time),East,Several times a week,Evening rush hour,Car,Motorcycle,Road construction,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Maybe,No change,1
46 - 55,Student,South,Occasionally,Early morning;Mid day;Evening rush hour;Late at  night,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,Speeding,Very safe,Yes,No change,1
18 - 25,Student,North,Daily,Evening rush hour,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,Improvement,1
18 - 25,Employed (full-time),East,Daily,Morning rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,1
26 - 35,Student,South,Daily,Mid day,Car,Car;SUV,Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Neutral,Yes,No change,1
26 - 35,Employed (full-time),West,Several times a week,Morning rush hour;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,1
46 - 55,Doctor ,South,Daily,Mid day;Evening rush hour;Late at  night,Car,Car,Accidents,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,1
26 - 35,Employed (full-time),West,Several times a week,Mid day;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,1
18 - 25,Student,West,Daily,Morning rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,Speeding;Poor road conditions,Somewhat safe,Yes,Improvement,1
18 - 25,Student,North,Occasionally,Morning rush hour;Mid day;Late at  night,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,1
18 - 25,Student,East,Occasionally,Evening rush hour,Car,Car;SUV,Heavy traffic due to peak hours,Sometimes,Speeding,Very safe,No,No change,1
18 - 25,Employed (full-time),East,Daily,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,Speeding;Poor road conditions,Neutral,Yes,Improvement,1
18 - 25,Employed (full-time),West,Daily,Morning rush hour;Evening rush hour,Bicycle,Car,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,No,No change,1
26 - 35,Employed (full-time),West,Several times a week,Mid day,Car,Car;Truck,Accidents,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Maybe,No change,1
18 - 25,Employed (full-time),West,Occasionally,Early morning,Motorcycle,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,No change,1
26 - 35,Employed (full-time),South,Daily,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,1
18 - 25,Student,North,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,Car;SUV,Accidents;Road construction,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,1
18 - 25,Student,South,Occasionally,Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,1
36 - 45,Employed (full-time),North,Several times a week,Early morning;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;neglected drivers, no many entries to the main roads so people fight through one entry ",Neutral,Yes,No change,1
18 - 25,Student,South,Daily,Early morning;Mid day,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,1
46 - 55,Student,East,Daily,Early morning;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Often,Poor road conditions,Very safe,Yes,No change,1
46 - 55,Student,East,Occasionally,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,1
18 - 25,Retired,East,Daily,Morning rush hour;Mid day;Late at  night,Public transit (bus),No car ,Accidents;Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Maybe,No change,1
18 - 25,Student,West,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,No,No change,1
18 - 25,Employed (full-time),North,Occasionally,Morning rush hour;Evening rush hour,Taxi / Uber,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,No change,1
46 - 55,Employed (full-time),West,Daily,Early morning;Morning rush hour;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat unsafe,Maybe,No change,1
18 - 25,Student,East,Occasionally,Early morning,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding,Very unsafe,Maybe,No change,1
18 - 25,Employed (full-time),North,Daily,Morning rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,1
18 - 25,Student,West,Daily,Morning rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,Speeding;Poor road conditions,Somewhat safe,Yes,Improvement,1
18 - 25,Employed (full-time),East,Daily,Evening rush hour,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,1
46 - 55,Student,East,Daily,Evening rush hour,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Neutral,No,No change,1
18 - 25,Employed (full-time),South,Daily,Early morning;Evening rush hour,Car,SUV,Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Very safe,No,Improvement,1
46 - 55,Student,North,Several times a week,Evening rush hour,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,1
36 - 45,Employed (full-time),North,Occasionally,Early morning;Morning rush hour,Car,SUV,Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very unsafe,No,Improvement,1
46 - 55,Student,North,Daily,Mid day,Car,Car;SUV,Road construction,Rarely,Speeding,Somewhat safe,No,Improvement,1
18 - 25,Student,South,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Maybe,Improvement,1
46 - 55,Student,East,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,Poor road conditions,Somewhat safe,Yes,Improvement,1
18 - 25,Student,South,Daily,Evening rush hour;Late at  night,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,1
18 - 25,Student,South,Daily,Evening rush hour;Late at  night,Car,Car,Accidents;Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,1
26 - 35,Student,South,Daily,Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,Poor road conditions;Weather conditions,Very unsafe,No,Improvement,1
46 - 55,Student,North,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents,Sometimes,Speeding;Poor road conditions,Very safe,Yes,No change,1
18 - 25,Student,South,Several times a week,Evening rush hour,Car,Car,Road construction,Sometimes,Speeding,Very safe,No,Improvement,1
36 - 45,Student,East,Daily,Morning rush hour;Evening rush hour,Public transit (bus),Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,1
18 - 25,Student,North,Occasionally,Morning rush hour;Mid day;Evening rush hour;Late at  night,Public transit (bus),SUV,Accidents;Road construction;Heavy traffic due to peak hours;Clusturing of work places,Rarely,Speeding;Weather conditions,Somewhat safe,Maybe,Improvement,1
18 - 25,Employed (full-time),West,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,No,Improvement,1
36 - 45,Student,East,Daily,Early morning;Morning rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,1
56 and above,Student,East,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,No,Improvement,1
18 - 25,Employed (full-time),South,Daily,Early morning;Morning rush hour;Evening rush hour,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,1
36 - 45,Employed (full-time),North,Occasionally,Evening rush hour;Late at  night,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,1
18 - 25,Employed (full-time),East,Daily,Early morning;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,1
46 - 55,Student,East,Occasionally,Morning rush hour;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours;,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Somewhat unsafe,Yes,Improvement,1
26 - 35,Employed (full-time),North,Occasionally,Mid day;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,1
46 - 55,Employed (full-time),East,Occasionally,Mid day,Car,SUV,Road construction,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,1
26 - 35,Student,South,Daily,Mid day,Car,Car;SUV,Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Neutral,Yes,No change,1
18 - 25,Employed (full-time),North,Daily,Morning rush hour;Evening rush hour,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Never,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,No change,1
18 - 25,Student,West,Daily,Early morning,Car,Car,Accidents;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Maybe,No change,1
26 - 35,Employed (full-time),East,Daily,Early morning;Mid day,Car,No car ,Accidents;Road construction,Rarely,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,1
18 - 25,Student,South,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Truck,Accidents;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,Improvement,1
